798.3	797.2	796.8	796.8	795.4	795.3	795.6	795.8	796.1	796.5	796.4
798.0	798.0	797.5	797.4	796.9	796.8	795.9	796.4	796.4	796.6	796.9
798.1	798.2	798.1	798.0	797.4	797.6	797.5	797.9	796.6	797.7	797.6
798.4	798.0	798.4	798.4	797.9	798.1	798.3	797.0	796.3	797.5	797.8
798.5	798.4	798.5	798.5	798.6	798.7	798.9	797.8	797.7	797.9	797.7
798.4	798.5	798.6	798.6	798.7	798.6	798.5	797.9	797.6	797.8	797.5
798.6	798.6	798.7	798.5	799.0	798.5	797.9	797.7	797.5	797.9	797.6
798.4	798.6	798.6	798.7	799.1	798.7	797.3	797.5	797.7	797.8	797.6
798.2	798.5	798.6	798.9	798.7	798.6	798.1	797.9	798.0	797.5	797.9
798.0	798.4	797.3	797.5	798.5	798.6	798.4	798.3	798.1	798.3	797.0
798.0	798.0	798.1	798.4	798.3	798.5	798.5	798.4	798.4	798.9	797.8
797.9	797.7	797.9	798.2	798.3	798.4	798.6	798.5	798.7	798.5	797.9
797.6	797.8	797.9	798.0	798.0	798.3	798.4	798.6	798.9	798.1	797.3
797.8	797.7	797.7	797.9	798.1	798.3	798.5	798.8	799.0	798.6	798.1
797.5	797.6	797.8	797.7	797.8	797.9	797.8	797.6	798.7	798.6	798.4
797.6	797.5	797.6	797.7	797.6	797.5	797.6	797.6	797.9	798.2	798.5
797.4	797.5	797.4	797.3	797.2	797.1	797.3	797.4	797.3	798.0	798.6
797.4	797.3	797.1	796.8	796.8	796.7	796.9	797.1	797.2	797.8	798.4
797.1	797.2	797.3	797.3	796.8	796.3	796.6	796.9	797.0	797.9	798.7
796.9	797.0	797.4	797.8	796.9	795.9	796.5	797.1	797.1	797.5	798.1
797.1	796.8	796.7	797.1	796.7	796.3	796.6	796.8	796.8	797.2	797.6
797.2	796.5	795.9	796.4	796.4	796.6	796.6	796.5	796.5	797.0	797.4
797.7	797.4	797.5	797.9	796.6	797.7	797.4	797.0	797.0	797.3	797.9
797.7	798.0	798.3	797.0	796.3	797.5	797.3	797.3	797.1	797.6	798.3
798.0	798.5	798.9	797.8	797.7	797.9	797.4	797.3	797.3	797.8	798.4
797.7	798.0	798.5	797.9	797.6	797.8	797.1	797.2	797.1	797.8	798.5
797.4	797.6	797.9	797.7	797.5	797.9	796.9	797.0	796.9	797.8	798.6
797.0	797.1	797.3	797.5	797.7	797.8	797.7	797.5	797.2	797.9	798.8
796.6	797.5	798.1	797.9	798.0	797.9	797.9	797.7	797.5	798.0	798.5
796.3	797.7	798.4	798.3	798.1	798.0	797.8	797.5	797.7	798.1	798.6
797.7	798.1	798.5	798.4	798.4	798.2	797.9	797.6	797.4	798.0	798.4
797.6	798.1	798.6	798.5	798.7	798.3	797.8	797.6	797.0	797.8	798.5
797.5	798.0	798.4	798.6	798.9	798.2	797.5	797.9	796.6	797.6	798.3
797.9	798.2	798.5	798.8	799.0	798.7	798.3	797.0	796.3	797.3	797.9
798.3	798.4	798.5	798.5	798.4	798.7	798.9	797.8	797.7	797.5	797.4
798.4	798.4	798.4	798.6	798.5	798.3	798.2	797.3	797.4	797.2	796.8
798.5	798.4	798.3	798.4	798.6	797.9	797.5	796.8	796.9	797.2	797.6
798.6	798.5	798.3	798.5	798.8	798.4	797.4	796.4	796.5	797.3	798.1
798.5	798.6	798.4	798.3	798.6	798.5	797.3	796.1	795.9	797.3	798.7
798.3	798.2	797.9	798.1	798.3	798.4	797.1	795.9	795.7	797.2	798.6
798.5	798.6	798.4	798.3	798.6	798.3	798.2	797.3	797.4	797.2	796.8
